municipality,year,inc
Svendborg,2010,347492.0
Ærø,2010,272002.0
Billund,2010,357174.0
Esbjerg,2010,355791.0
Fanø,2010,300165.0
Fredericia,2010,362083.0
Haderslev,2010,360172.0
Kolding,2010,353544.0
Sønderborg,2010,348521.0
Tønder,2010,316824.0
Varde,2010,346559.0
Vejen,2010,323631.0
Vejle,2010,377772.0
Aabenraa,2010,350112.0
Favrskov,2010,341822.0
Hedensted,2010,339871.0
Horsens,2010,337387.0
Norddjurs,2010,301814.0
Odder,2010,348056.0
Randers,2010,333033.0
Samsø,2010,278131.0
Silkeborg,2010,349997.0
Skanderborg,2010,346005.0
Syddjurs,2010,313654.0
Aarhus,2010,332484.0
Herning,2010,361499.0
Holstebro,2010,381396.0
Ikast-Brande,2010,325677.0
Lemvig,2010,319484.0
Ringkøbing-Skjern,2010,337206.0
Skive,2010,335345.0
Struer,2010,341240.0
Viborg,2010,366202.0
Brønderslev,2010,317102.0
Frederikshavn,2010,352212.0
Hjørring,2010,354208.0
Jammerbugt,2010,320377.0
Læsø,2010,262627.0
Mariagerfjord,2010,335454.0
Morsø,2010,362153.0
Rebild,2010,335249.0
Thisted,2010,350229.0
Vesthimmerlands,2010,313673.0
Aalborg,2010,322084.0
Copenhagen,2011,303717.0
Frederiksberg,2011,356537.0
Dragør,2011,471854.0
Tårnby,2011,368789.0
Albertslund,2011,308977.0
Ballerup,2011,372234.0
Brøndby,2011,313825.0
Gentofte,2011,580544.0
Gladsaxe,2011,372911.0
Glostrup,2011,356933.0
Herlev,2011,354691.0
Hvidovre,2011,337256.0
Høje-Taastrup,2011,347069.0
Ishøj,2011,308104.0
Lyngby-Taarbæk,2011,448476.0
Rødovre,2011,324538.0
Vallensbæk,2011,362360.0
Allerød,2011,414404.0
Egedal,2011,375895.0
Fredensborg,2011,415872.0
Frederikssund,2011,364475.0
Furesø,2011,430857.0
Gribskov,2011,355041.0
Halsnæs,2011,335216.0
Helsingør,2011,399348.0
Hillerød,2011,383938.0
Hørsholm,2011,559618.0
Rudersdal,2011,522155.0
Bornholm,2011,0.0
Greve,2011,384932.0
Køge,2011,362318.0
Lejre,2011,356490.0
Roskilde,2011,389123.0
Solrød,2011,436282.0
Faxe,2011,336563.0
Guldborgsund,2011,329596.0
Holbæk,2011,372828.0
Kalundborg,2011,338066.0
Lolland,2011,305148.0
Næstved,2011,338185.0
Odsherred,2011,286712.0
Ringsted,2011,359493.0
Slagelse,2011,340962.0
Sorø,2011,352512.0
Stevns,2011,344579.0
Vordingborg,2011,330983.0
Assens,2011,318847.0
Faaborg-Midtfyn,2011,337398.0
Kerteminde,2011,342052.0
Langeland,2011,293609.0
Middelfart,2011,368220.0
Nordfyns,2011,354258.0
Nyborg,2011,322658.0
Odense,2011,335525.0
Svendborg,2011,346196.0
Ærø,2011,263017.0
Billund,2011,334701.0
Esbjerg,2011,369726.0
Fanø,2011,339650.0
Fredericia,2011,365382.0
Haderslev,2011,359158.0
Kolding,2011,356838.0
Sønderborg,2011,375072.0
Tønder,2011,322724.0
Varde,2011,345783.0
Vejen,2011,317958.0
Vejle,2011,377387.0
Aabenraa,2011,346564.0
Favrskov,2011,349322.0
Hedensted,2011,347921.0
Horsens,2011,349840.0
Norddjurs,2011,296731.0
Odder,2011,358760.0
Randers,2011,340844.0
Samsø,2011,275786.0
Silkeborg,2011,355690.0
Skanderborg,2011,361151.0
Syddjurs,2011,327879.0
Aarhus,2011,334685.0
Herning,2011,371632.0
Holstebro,2011,383037.0
Ikast-Brande,2011,324720.0
Lemvig,2011,333913.0
Ringkøbing-Skjern,2011,353599.0
Skive,2011,353069.0
Struer,2011,352864.0
Viborg,2011,358433.0
Brønderslev,2011,324981.0
Frederikshavn,2011,356637.0
Hjørring,2011,380829.0
Jammerbugt,2011,324082.0
Læsø,2011,247151.0
Mariagerfjord,2011,339306.0
Morsø,2011,383657.0
Rebild,2011,351736.0
Thisted,2011,349627.0
Vesthimmerlands,2011,322360.0
Aalborg,2011,324869.0
Copenhagen,2012,308601.0
Frederiksberg,2012,363466.0
Dragør,2012,457410.0
Tårnby,2012,347705.0
Albertslund,2012,320298.0
Ballerup,2012,386373.0
Brøndby,2012,315593.0
Gentofte,2012,606192.0
Gladsaxe,2012,382828.0
Glostrup,2012,354012.0
Herlev,2012,359186.0
Hvidovre,2012,351386.0
Høje-Taastrup,2012,353396.0
Ishøj,2012,315316.0
Lyngby-Taarbæk,2012,457272.0
Rødovre,2012,332389.0
Vallensbæk,2012,378743.0
Allerød,2012,426563.0
Egedal,2012,387132.0
Fredensborg,2012,441190.0
Frederikssund,2012,370578.0
Furesø,2012,460056.0
Gribskov,2012,410656.0
Halsnæs,2012,337257.0
Helsingør,2012,412634.0
Hillerød,2012,394811.0
Hørsholm,2012,569343.0
Rudersdal,2012,542997.0
Bornholm,2012,0.0
Greve,2012,400591.0
Køge,2012,371504.0
Lejre,2012,378253.0
Roskilde,2012,395629.0
Solrød,2012,433857.0
Faxe,2012,327233.0
Guldborgsund,2012,340719.0
Holbæk,2012,371125.0
Kalundborg,2012,354059.0
Lolland,2012,367768.0
Næstved,2012,376878.0
Odsherred,2012,309377.0
Ringsted,2012,356657.0
Slagelse,2012,348209.0
Sorø,2012,368244.0
Stevns,2012,350833.0
Vordingborg,2012,340130.0
Assens,2012,335293.0
Faaborg-Midtfyn,2012,341586.0
Kerteminde,2012,369349.0
Langeland,2012,275635.0
Middelfart,2012,381621.0
Nordfyns,2012,345981.0
Nyborg,2012,332431.0
Odense,2012,340629.0
Svendborg,2012,353232.0
Ærø,2012,256772.0
Billund,2012,352391.0
Esbjerg,2012,377553.0
Fanø,2012,344030.0
Fredericia,2012,377269.0
Haderslev,2012,359467.0
Kolding,2012,362557.0
Sønderborg,2012,369718.0
Tønder,2012,320200.0
Varde,2012,352816.0
Vejen,2012,334867.0
Vejle,2012,387666.0
Aabenraa,2012,349133.0
Favrskov,2012,359030.0
Hedensted,2012,365469.0
Horsens,2012,355512.0
Norddjurs,2012,305366.0
Odder,2012,355247.0
Randers,2012,345274.0
Samsø,2012,287283.0
Silkeborg,2012,370370.0
Skanderborg,2012,376747.0
Syddjurs,2012,334407.0
Aarhus,2012,342929.0
